Player,2022 Salary,2022 Signing,G,GS,MIN,PTS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,PF
Breanna Stewart B Stewart,228094,UFA,34,34,30.9,21.8,7.5,15.9,47.20%,5.5,10.7,51.80%,2,5.2,37.90%,4.8,5.8,83.70%,1.4,6.2,7.6,2.9,1.3,1.6,0.9,2.1
Kelsey Plum K Plum,180250,--,36,36,32.8,20.2,6.8,14.8,46.00%,3.6,7.3,50.00%,3.1,7.5,42.00%,3.5,4.1,83.90%,0.3,2.4,2.7,5.1,2.6,1,0.1,2.5
Skylar Diggins-Smith S Diggins-Smith,227900,--,30,30,34,19.7,6.9,16.2,42.90%,5.6,11.7,48.00%,1.3,4.5,29.60%,4.5,5.3,84.40%,0.9,3.1,4,5.5,2.7,1.5,1,2.7
Arike Ogunbowale A Ogunbowale,72141,--,30,30,31.4,19.7,6.8,17,40.00%,4,9.1,44.20%,2.8,7.9,35.20%,3.3,4.1,79.80%,0.6,2.7,3.3,3.6,1.8,1.5,0.1,2.2
A'ja Wilson A Wilson,196267,RFA,36,36,30,19.5,7.2,14.4,50.10%,6.4,12.1,52.50%,0.9,2.3,37.30%,4.2,5.2,81.30%,1.8,7.6,9.4,2.1,1.7,1.4,1.9,2.1
Kelsey Mitchell K Mitchell,200000,--,31,31,32.6,18.4,6.3,14.4,43.80%,4,8.7,45.80%,2.3,5.7,40.90%,3.4,3.9,86.10%,0.5,1.5,1.9,4.2,2.4,0.9,0.2,2.3
Nneka Ogwumike N Ogwumike,196267,Core,34,34,31.4,18.1,7.3,13.5,54.40%,6.7,11.8,56.90%,0.6,1.7,36.80%,2.8,3.4,82.60%,1.4,5.2,6.6,2,1.8,1.7,0.4,2.4
Sabrina Ionescu S Ionescu,76297,--,36,36,32.3,17.4,5.9,14.3,41.10%,3.6,7.3,48.50%,2.3,6.9,33.30%,3.4,3.6,93.10%,1,6.1,7.1,6.3,3,1.1,0.3,2.1
Elena Delle Donne E Delle Donne,227900,--,25,25,27.8,17.2,6.2,12.9,48.00%,4.8,9.1,52.60%,1.4,3.8,36.80%,3.4,3.7,91.30%,1.2,5.1,6.3,2.3,1.1,0.5,1.1,1.4
Diana Taurasi D Taurasi,228094,UFA,31,31,31,16.7,4.8,13,37.30%,1.9,4.2,45.00%,3,8.8,33.70%,4.1,4.6,89.40%,0.3,3.2,3.4,3.9,2.7,0.7,0.6,2.9
Jewell Loyd J Loyd,228094,Core,36,36,30.3,16.3,5.6,14.1,39.60%,3.3,8.1,40.30%,2.3,6.1,38.50%,2.8,3.1,89.30%,0.6,2.1,2.6,3.4,2.2,1.1,0.2,1.8
Rhyne Howard R Howard,72141,Rookie,34,34,31.3,16.2,5.4,15,36.10%,2.9,7.7,37.90%,2.5,7.3,34.30%,2.9,3.7,79.20%,0.8,3.7,4.5,2.8,1.6,1.6,0.8,2.6
Jackie Young J Young,72141,--,34,34,33.2,15.9,5.6,11.8,47.60%,4.1,8.4,49.50%,1.5,3.4,43.10%,3.2,3.8,85.90%,1.3,3.1,4.4,3.9,1.3,1.4,0.2,2.4
Kahleah Copper K Copper,200000,Core,31,31,28.8,15.7,5.7,11.8,48.10%,4.5,8.5,52.80%,1.2,3.3,35.60%,3.2,4.2,77.50%,1,4.6,5.7,2.3,2,0.5,0,2.4
Natasha Howard N Howard,221450,Core,35,35,29.9,15.1,5.9,12.2,48.20%,5,9.6,52.50%,0.9,2.6,32.60%,2.5,3.5,71.50%,2,5.3,7.3,2.3,3.2,1.3,1,3.1
Tiffany Hayes T Hayes,215000,UFA,12,11,25.2,14.8,5.5,10.1,54.50%,4,6.6,60.80%,1.5,3.5,42.90%,2.3,3.4,68.30%,0.3,3.1,3.3,1.9,1.8,0.7,0.1,2.8
Tina Charles T Charles,56673,UFA,34,26,28.9,14.8,5.8,12.7,45.70%,4.7,9.5,49.20%,1.1,3.2,35.50%,2,2.4,82.70%,1.5,5.8,7.3,2,2.1,0.7,0.7,2.8
Tina Charles T Charles,34285,UFA,34,26,28.9,14.8,5.8,12.7,45.70%,4.7,9.5,49.20%,1.1,3.2,35.50%,2,2.4,82.70%,1.5,5.8,7.3,2,2.1,0.7,0.7,2.8
Ariel Atkins A Atkins,170000,--,36,36,30,14.6,5.1,12.2,42.00%,3.2,6.9,46.40%,1.9,5.3,36.50%,2.4,2.9,84.50%,0.9,2.3,3.3,2.3,1.4,1.3,0.3,2.8
Jonquel Jones J Jones,205000,Core,33,32,26.4,14.6,5.3,10.4,51.30%,4.1,7,58.20%,1.2,3.4,36.90%,2.7,3.4,80.20%,2.6,6,8.6,1.8,2.6,1.1,1.2,2.7
Aerial Powers A Powers,196267,UFA,35,31,27,14.4,4.9,12.6,38.50%,3.9,9.5,41.00%,0.9,3.1,30.80%,3.8,4.6,81.50%,1.3,3.4,4.7,2.9,2.6,1.2,0.3,1.8
Sylvia Fowles S Fowles,200000,UFA,30,30,27.7,14.4,6.1,9.9,62.20%,6.1,9.9,62.20%,0,0,--,2.1,3.2,66.00%,2.5,7.3,9.8,1.2,2.1,1,1.2,2.4
Brionna Jones B Jones,120000,RFA,36,7,25.1,13.8,5.2,9.1,56.90%,5.2,8.9,57.90%,0,0.2,0.00%,3.4,4.1,84.40%,2.6,2.5,5.1,1.2,1.5,1.2,0.4,2.6
Chelsea Gray C Gray,206267,UFA,35,35,29.7,13.7,5.2,10.7,49.10%,4.3,7.8,54.60%,1,2.9,34.00%,2.3,2.5,91.00%,0.3,2.9,3.2,6.1,2.3,1.6,0.3,1.5
Marina Mabrey M Mabrey,72141,--,34,32,28,13.6,5.2,12.5,42.00%,3.4,7.4,46.80%,1.8,5.1,35.10%,1.4,2,68.10%,0.6,3.1,3.6,3.7,2.4,0.8,0.4,2.5
NaLyssa Smith N Smith,72141,Rookie,32,32,30.7,13.5,5,11.9,41.90%,3.8,8.9,43.20%,1.2,3,38.10%,2.4,3.8,61.80%,2.2,5.7,7.9,1.4,2.4,0.5,0.3,2.9
DeWanna Bonner D Bonner,227900,--,33,33,30,13.5,4.7,10.8,43.90%,3.3,6.5,51.20%,1.4,4.2,32.90%,2.6,3.2,82.70%,0.8,4,4.7,2.8,1.6,1.2,0.3,1.8
Alyssa Thomas A Thomas,206000,UFA,36,36,32.1,13.4,5.2,10.4,50.00%,5.2,10.4,50.30%,0,0.1,0.00%,3,4.1,73.00%,2.1,6.1,8.2,6.1,2.9,1.7,0.2,2.8
Allisha Gray A Gray,164800,RFA,33,33,32.9,13.3,4.4,10.5,42.30%,2.5,5.7,43.60%,1.9,4.8,40.80%,2.5,3.2,79.80%,0.9,3.9,4.8,2.5,1.3,1.1,0.7,2.4
Kayla McBride K McBride,196267,UFA,31,31,29.8,13.3,4.4,10.9,40.50%,2.9,6.6,43.70%,1.5,4.3,35.60%,2.9,3.2,90.90%,0.5,2.3,2.8,2.1,1.5,1,0.1,1.4
Candace Parker C Parker,195000,UFA,32,32,28.2,13.2,5,10.8,45.80%,3.7,6.6,55.20%,1.3,4.2,31.10%,1.9,2.4,81.60%,0.9,7.7,8.6,4.5,2.4,1,1,2.2
Diamond DeShields D DeShields,150000,RFA,30,19,25.3,13.1,4.7,12.2,38.80%,4,9.2,43.70%,0.7,3,23.60%,2.9,3.8,76.50%,0.6,3.2,3.8,2.2,2.3,1,0.5,3.3
Liz Cambage L Cambage,141386,UFA,25,24,23.4,13,4.7,9.2,50.90%,4.5,8.6,52.30%,0.2,0.6,28.60%,3.5,4.4,78.40%,1.3,5.1,6.4,2.1,2.3,0.7,1.6,3.2
Brittney Sykes B Sykes,113300,RFA,32,24,28.8,12.7,4.8,11,43.30%,4.3,9.3,46.20%,0.4,1.6,26.90%,2.7,3.5,77.00%,0.7,2.9,3.7,3.7,2.6,2,0.7,2.6
Sophie Cunningham S Cunningham,75000,UFA,28,20,29.5,12.6,4.3,9.5,44.90%,1.8,3.3,54.30%,2.5,6.3,40.00%,1.5,1.7,87.50%,0.7,3.7,4.4,1.6,1,1,0.4,3.4
Emma Meesseman E Meesseman,185000,UFA,36,36,28.6,12.4,5.4,9.4,57.10%,5,8.4,59.90%,0.4,1.1,34.20%,1.3,1.5,88.70%,1.7,3.8,5.5,3.8,1.4,1.4,0.8,2.5
Cheyenne Parker C Parker,190550,UFA,36,35,26.2,11.8,4.9,9.8,50.00%,4.6,8.3,55.20%,0.3,1.5,21.80%,1.7,2.2,79.50%,1.6,4.5,6.2,2,2,1,0.9,2.7
Courtney Vandersloot C Vandersloot,195000,UFA,32,32,26.5,11.8,4.3,8.8,48.10%,3.3,6.4,52.50%,0.9,2.5,36.70%,2.3,3.1,76.50%,0.7,3.2,3.9,6.5,2.7,1.2,0.5,1.7
Allie Quigley A Quigley,135000,UFA,34,34,26.3,11.4,3.8,8.9,42.80%,2.4,4.8,49.10%,1.5,4.1,35.50%,2.2,2.4,95.00%,0.5,2,2.5,2.9,1.3,0.7,0.2,1.5
Satou Sabally S Sabally,76297,--,11,6,21.7,11.3,3.7,9.4,39.80%,2.8,5.5,51.70%,0.9,3.9,23.30%,2.9,3.2,91.40%,0.8,4,4.8,2.1,2.3,0.5,0.2,3.2
Betnijah Laney B Laney,196267,UFA,9,6,28.3,11.2,4.2,10,42.20%,3,6.8,44.30%,1.2,3.2,37.90%,1.6,1.8,87.50%,0.1,3.2,3.3,2.8,2.7,0.4,0.1,2.7
Courtney Williams C Williams,103000,UFA,34,34,28,11.1,4.9,11.4,42.60%,4.2,9.5,44.40%,0.6,1.9,33.80%,0.8,1.1,75.00%,0.9,3.7,4.6,3.3,1.7,1,0.4,1.6
Aari McDonald A McDonald,71441,Rookie,36,6,24.3,11.1,3.6,8.9,41.10%,2.3,4.9,46.90%,1.3,3.9,33.80%,2.4,2.8,87.10%,0.4,1.8,2.3,2.6,2.2,1.5,0,2.2
Teaira McCowan T McCowan,72141,--,33,15,18.9,11,4.2,7,60.20%,4.2,7,60.20%,0,0,--,2.5,4.2,60.00%,3,4.1,7,0.8,1.7,0.3,0.7,3.1
Maya Caldwell M Caldwell,4490,Hardship,9,7,23.7,10.9,4.2,8.2,51.40%,2.2,4.7,47.60%,2,3.6,56.30%,0.4,0.6,80.00%,0.6,1.9,2.4,2.2,1.6,0.8,0.2,1.7
Maya Caldwell M Caldwell,3143,Hardship,9,7,23.7,10.9,4.2,8.2,51.40%,2.2,4.7,47.60%,2,3.6,56.30%,0.4,0.6,80.00%,0.6,1.9,2.4,2.2,1.6,0.8,0.2,1.7
Maya Caldwell M Caldwell,1796,Hardship,9,7,23.7,10.9,4.2,8.2,51.40%,2.2,4.7,47.60%,2,3.6,56.30%,0.4,0.6,80.00%,0.6,1.9,2.4,2.2,1.6,0.8,0.2,1.7
Natasha Cloud N Cloud,185000,SuspCE,34,34,31.3,10.7,3.6,9.1,39.90%,2.4,5.1,46.20%,1.3,4,31.90%,2.2,2.7,82.40%,0.5,3.1,3.6,7,2.8,1,0.3,1.6
Azura Stevens A Stevens,140000,--,35,8,21.9,10.6,4.3,9.1,47.20%,3.1,5.8,53.50%,1.2,3.3,36.20%,0.8,1.1,74.40%,0.6,3.3,3.9,0.8,0.7,0.5,1.1,1.7
Moriah Jefferson M Jefferson,170953,--,31,30,26.1,10.4,3.8,8.4,45.20%,2.6,5.9,44.30%,1.2,2.5,47.40%,1.7,2.1,81.50%,0.4,2.1,2.4,4.7,2.2,1.2,0.1,2.2
Moriah Jefferson M Jefferson,67141,UFA,31,30,26.1,10.4,3.8,8.4,45.20%,2.6,5.9,44.30%,1.2,2.5,47.40%,1.7,2.1,81.50%,0.4,2.1,2.4,4.7,2.2,1.2,0.1,2.2
Marine Johannes M Johannes,40713,ROS,24,10,25.5,10,3.5,7.5,46.40%,1.2,2.2,52.80%,2.3,5.3,43.70%,0.8,1,87.00%,0.2,1.5,1.7,3.4,1.8,0.6,0.1,1.6
Shey Peddy S Peddy,72141,Reserved,34,24,28.7,9.9,3.4,8.2,41.80%,2,3.9,51.50%,1.4,4.3,32.90%,1.6,1.9,88.90%,1.3,2.4,3.8,3.4,1.4,1.6,0.2,1.8
Victoria Vivians V Vivians,72141,Reserved,35,30,26.9,9.8,3.6,10.7,33.60%,2.3,6.2,37.60%,1.3,4.5,28.00%,1.3,1.8,74.20%,0.7,2.9,3.6,2.4,2.1,1.1,0.3,2.4
Katie Lou Samuelson K Samuelson,72141,--,32,29,29.5,9.7,3.3,9,37.30%,1.6,4,39.80%,1.8,5,35.20%,1.3,1.5,83.70%,0.5,2.4,3,1.9,1.1,1,0.2,1.6
Ezi Magbegor E Magbegor,60471,--,33,23,24.7,9.5,4,7.3,55.00%,3.7,6.5,57.70%,0.3,0.9,34.50%,1.2,1.6,73.60%,1.6,4,5.6,1.4,1.4,0.9,1.8,2.9
Dearica Hamby D Hamby,152800,--,34,32,26.5,9.3,3.4,7.3,46.60%,2.9,5.2,56.80%,0.5,2.1,21.90%,2,2.7,72.00%,1.4,5.6,7.1,1.1,1.5,1.1,0.1,2
Jordin Canada J Canada,98000,UFA,32,25,27,9.2,3.3,8.5,38.40%,3,6.9,43.90%,0.2,1.6,14.00%,2.5,3.1,80.60%,0.2,2.1,2.3,5.5,2.3,1.4,0.2,1.8
Natisha Hiedeman N Hiedeman,72141,Reserved,36,31,25,9.1,3.3,7.6,43.10%,1.4,2.9,46.20%,1.9,4.7,41.10%,0.7,0.8,80.00%,0.2,1.6,1.8,3.3,1.3,1.2,0.1,1.8
Myisha Hines-Allen M Hines-Allen,170000,RFA,34,15,19.3,8.9,3.4,8.1,41.50%,2.5,5.8,43.40%,0.9,2.3,36.70%,1.3,1.9,70.30%,1.1,4.2,5.3,1.9,1.7,0.8,0.3,1.6
Chennedy Carter C Carter,76297,--,24,2,16.4,8.9,3.5,7.9,45.00%,3.5,7.5,46.40%,0.1,0.4,20.00%,1.7,2.3,74.50%,0.4,1.5,1.9,1.9,1.8,0.6,0.4,2.2
Isabelle Harrison I Harrison,159000,--,35,18,18.4,8.7,3.3,7.1,46.60%,3.3,7.1,46.20%,0.1,0.1,100.00%,2.1,2.4,86.70%,1.4,2.9,4.3,1.3,1.3,0.7,0.1,2.1
Shakira Austin S Austin,72141,Rookie,36,32,21.6,8.7,3.4,6.2,54.70%,3.4,6.2,55.00%,0,0,0.00%,1.9,3,62.40%,1.8,4.7,6.4,0.9,1.5,0.8,0.8,2.3
Han Xu H Xu,60471,Rookie,32,0,16.8,8.5,3.4,6.9,49.30%,2.9,5.8,50.30%,0.5,1.1,44.40%,1.2,1.5,79.60%,1.2,2.4,3.6,0.9,0.7,0.5,0.7,1
Rebekah Gardner R Gardner,60471,UFA,35,2,21.7,8.4,3.3,6.1,54.20%,2.9,4.9,58.70%,0.4,1.2,35.70%,1.4,1.7,80.00%,1.3,2,3.3,1.3,1.6,1.4,0.5,2.3
Erica Wheeler E Wheeler,185400,--,30,30,26.3,8.4,3.3,9.2,35.50%,2.5,6.8,36.50%,0.8,2.4,32.90%,1,1.4,75.60%,0.6,2.5,3.1,3.9,2.5,1.1,0.1,2.5
Jessica Shepard J Shepard,60471,--,36,22,26.1,8.1,3,6,50.00%,2.8,5.3,53.10%,0.2,0.7,25.00%,1.9,2.6,73.40%,2,5.4,7.4,3,1.7,0.4,0.3,2.1
Stefanie Dolson S Dolson,160000,UFA,36,36,23,8.1,3.1,6.4,49.30%,2.4,4.5,53.40%,0.7,1.8,39.40%,1.1,1.2,90.50%,1.2,3.6,4.8,1.8,1.6,0.4,0.8,3.1
Alysha Clark A Clark,183000,UFA,29,29,26.4,8,3.1,6.8,46.40%,2.1,3.3,62.90%,1,3.4,30.30%,0.7,0.8,91.30%,0.8,3.7,4.5,2,1.3,1,0.3,1.9
Kayla Thornton K Thornton,107040,--,36,35,29.2,8,2.7,5.8,46.90%,2,3.6,55.40%,0.7,2.1,32.50%,1.9,2.3,82.90%,1.8,4.1,5.9,1.8,1.2,1.1,0.6,2.7
Rachel Banham R Banham,72141,UFA,36,5,17.5,7.9,2.8,6.5,43.00%,1.2,2.4,51.20%,1.6,4.1,38.30%,0.7,0.8,80.00%,0.1,1.3,1.3,2.3,1.3,0.3,0.1,1.7
Sue Bird S Bird,72141,UFA,31,31,26.4,7.8,2.7,6.8,40.30%,0.9,2.2,43.30%,1.8,4.6,38.90%,0.5,0.5,100.00%,0.2,1.7,1.9,6,1.9,1.2,0.1,0.7
Gabby Williams G Williams,144000,--,36,36,25.6,7.5,3,6.8,44.40%,2.5,4.8,52.00%,0.5,1.9,25.70%,1,1.3,77.80%,1.2,3.8,5,3.1,1.4,1.5,0.4,1.6
Danielle Robinson D Robinson,155000,UFA,31,30,23.6,7.4,2.7,6.5,41.90%,2.5,5.3,46.60%,0.3,1.3,22.50%,1.6,1.9,85.00%,0.4,2.5,2.9,3.8,1.6,0.7,0.2,1.4
Napheesa Collier N Collier,72141,--,4,4,22.7,7.3,2.8,6.5,42.30%,2.3,4.8,47.40%,0.5,1.8,28.60%,1.3,1.8,71.40%,0.5,2.5,3,1,0.3,0.5,0.3,2.3
Lexie Brown L Brown,72141,RFA,34,16,25,7.1,2.7,6.2,44.10%,1.2,2.3,51.30%,1.6,3.9,39.80%,0.1,0.2,66.70%,0.2,2.1,2.3,2.1,0.8,1,0.2,1.3
Queen Egbo Q Egbo,66306,Rookie,34,31,21.2,7,2.8,6.3,44.20%,2.8,6.3,44.20%,0,0,--,1.4,2.2,64.50%,1.8,4.4,6.1,0.9,1.9,0.9,1.2,2.9
Chiney Ogwumike C Ogwumike,116390,SuspCE,26,7,18.4,7,2.7,5.7,46.60%,2.3,5,46.90%,0.3,0.7,44.40%,1.4,2,70.60%,2,3.5,5.5,1.1,1.4,0.7,0.3,2.7
Rebecca Allen R Allen,141000,UFA,25,19,20.9,7,2.6,6.8,37.90%,1.5,3.4,44.20%,1,3.3,31.30%,0.8,1,83.30%,0.3,3,3.4,1.2,1,0.8,1,1.9
Shatori Walker-Kimbrough S Walker-Kimbrough,72141,UFA,35,3,20.1,6.9,2.3,5.7,40.20%,1.5,3.5,43.50%,0.7,2.1,34.70%,1.6,1.7,90.20%,0.3,1.5,1.8,1.5,1.1,1.1,0.3,1.2
Odyssey Sims O Sims,3750,Hardship,7,0,20.8,6.9,2.4,7.6,32.10%,1.9,5.4,34.20%,0.6,2.1,26.70%,1.4,2.1,66.70%,0.3,1.6,1.9,2.9,1.7,1.1,0.3,1.6
Odyssey Sims O Sims,2678,Hardship,7,0,20.8,6.9,2.4,7.6,32.10%,1.9,5.4,34.20%,0.6,2.1,26.70%,1.4,2.1,66.70%,0.3,1.6,1.9,2.9,1.7,1.1,0.3,1.6
Odyssey Sims O Sims,6428,UFA,7,0,20.8,6.9,2.4,7.6,32.10%,1.9,5.4,34.20%,0.6,2.1,26.70%,1.4,2.1,66.70%,0.3,1.6,1.9,2.9,1.7,1.1,0.3,1.6
